Image: Square

Iteration           	Opt. Energy         	Elastica II         	Elastica MDCA       	Unlabeled           	
IT 0                	-1.000000           	11.480422           	1.810239            	-747870464.000000   	
IT 1                	3.789615            	8.752566            	0.539147            	0.000000            	
IT 2                	-0.496758           	7.797652            	0.379749            	0.000000            	
IT 3                	0.435575            	6.290872            	0.305665            	0.000000            	
IT 4                	-1.856039           	7.182682            	0.275599            	0.000000            	
IT 5                	-0.457218           	4.618604            	0.247345            	0.000000            	
IT 6                	-2.166456           	5.798952            	0.241702            	0.000000            	
IT 7                	-1.187493           	5.590647            	0.240800            	0.000000            	
IT 8                	-0.706906           	3.766368            	0.225089            	0.000000            	
IT 9                	-3.026541           	5.530886            	0.236145            	12.000000           	
IT 10               	-1.166192           	4.390415            	0.230355            	0.000000            	
IT 11               	-3.698447           	5.025988            	0.234888            	0.000000            	
IT 12               	-1.504047           	3.719815            	0.236099            	0.000000            	
IT 13               	-3.285936           	5.120226            	0.245669            	0.000000            	
IT 14               	-2.298831           	4.448790            	0.245605            	0.000000            	
IT 15               	-4.113122           	4.631753            	0.253979            	0.000000            	
IT 16               	-2.733603           	3.766157            	0.257070            	0.000000            	
IT 17               	-3.613815           	4.285005            	0.265793            	0.000000            	
IT 18               	-3.601096           	4.016494            	0.270498            	0.000000            	
IT 19               	-3.119341           	3.492319            	0.278060            	0.000000            	
